CN:108 22/01/2022 11:50:05 Q:-1 ID: Fixture:SMTB/FTMT00019
CN:108 27/04/2022 08:36:17 Q:-4 ID: Fixture: OUT
CN:108 27/04/2022 08:36:57 Q:1 ID: Fixture: IN
CN:108 16/05/2022 07:31:53 Q:1 ID: Fixture: IN
CN:108 12/09/2022 12:41:09 Q:1 ID: Fixture: IN
CN:108 12/09/2022 12:50:51 Q:1 ID: Fixture: IN
CN:108 12/09/2022 12:54:17 Q:1 ID: Fixture: IN
CN:108 12/09/2022 13:01:30 Q:1 ID: Fixture: IN
CN:108 12/09/2022 14:48:29 Q:-1 ID: Fixture: OUT
CN:108 12/09/2022 15:33:51 Q:1 ID: Fixture: IN
CN:108 12/09/2022 16:34:37 Q:-4 ID:VALIDAÇAO Fixture:
CN:108 14/09/2022 13:00:25 Q:-1 ID: Fixture: OUT
CN:108 14/09/2022 13:00:26 Q:-1 ID: Fixture: OUT
CN:108 14/09/2022 13:00:26 Q:-1 ID: Fixture: OUT
CN:108 15/09/2022 10:39:03 Q:-1 ID: Fixture: OUT
CN:108 15/09/2022 10:39:06 Q:-1 ID: Fixture: OUT
CN:108 19/09/2022 06:54:17 Q:1 ID: Fixture: IN
CN:108 19/09/2022 06:54:33 Q:-1 ID: Fixture: OUT
CN:108 28/09/2022 15:37:19 Q:-2 ID: Fixture: OUT
CN:108 28/09/2022 19:16:08 Q:1 ID: Fixture: IN
CN:108 29/09/2022 11:34:40 Q:-1 ID: Fixture: OUT
CN:108 29/09/2022 17:01:56 Q:1 ID: Fixture: IN
CN:108 30/09/2022 23:20:24 Q:1 ID: Fixture: IN
CN:108 30/09/2022 23:20:25 Q:1 ID: Fixture: IN
CN:108 30/09/2022 23:37:44 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:08 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:08 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:08 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:09 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:09 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:09 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:10 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:10 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:16 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:16 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:16 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:17 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:17 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:17 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:18 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:18 Q:1 ID: Fixture: IN
CN:108 03/10/2022 11:46:23 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:23 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:23 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:24 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:24 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:24 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:25 Q:-1 ID: Fixture: OUT
CN:108 03/10/2022 11:46:25 Q:-1 ID: Fixture: OUT
CN:108 05/10/2022 09:27:52 Q:1 ID: Fixture: IN QTD:1
CN:108 05/10/2022 09:41:17 Q:1 ID: Fixture: IN QTD:2
CN:108 05/10/2022 09:41:27 Q:1 ID: Fixture: IN QTD:3
