CN:397 22/12/2021 15:00:38 Q:-1 ID: Fixture: OUT
CN:397 27/12/2021 14:21:14 Q:-1 ID: Fixture: OUT
CN:397 20/01/2022 23:29:56 Q:-1 ID: Fixture: OUT
CN:397 20/01/2022 23:49:41 Q:-1 ID: Fixture: OUT
CN:397 21/01/2022 12:27:13 Q:-1 ID:B000270 Fixture:PASADENA
CN:397 22/01/2022 15:28:52 Q:-1 ID:B000462-FT Fixture:4PCBAF/TA00009
CN:397 22/01/2022 23:41:25 Q:-1 ID:B000377-FT Fixture:4PCBAF/TA00069
CN:397 24/01/2022 07:54:59 Q:-1 ID:B000451-FT Fixture:4PCBAF/TA00011
CN:397 24/01/2022 12:50:09 Q:-3 ID:montagem Fixture:
CN:397 25/01/2022 19:47:16 Q:-1 ID:B000377-FT Fixture:4PCBAF/TA00009
CN:397 25/01/2022 20:47:47 Q:-1 ID:VALIDAÇÃO Fixture:
CN:397 25/01/2022 20:53:50 Q:-1 ID:B000253-FT Fixture:4PCBAF/TA00011
CN:397 27/01/2022 00:53:22 Q:-1 ID:B000377-FT Fixture:4PCBAF/TA00009
CN:397 28/01/2022 05:08:51 Q:-1 ID:B000392-FT Fixture:4PCBAF/TA00007
CN:397 28/01/2022 21:16:51 Q:-1 ID:B000414-FT Fixture:TE2
CN:397 28/01/2022 21:18:56 Q:-1 ID:B000414-FT Fixture:TE3
CN:397 29/01/2022 12:09:08 Q:-1 ID:B000392-FT Fixture:4PCBAF/TA00010
CN:397 29/01/2022 14:00:32 Q:-1 ID:B000332-FT Fixture:TS
CN:397 29/01/2022 18:29:02 Q:-1 ID:B000253-FT Fixture:T11
CN:397 31/01/2022 09:41:49 Q:-1 ID:B000359-FT Fixture:TE8
CN:397 31/01/2022 23:47:07 Q:-1 ID:B000414-FT Fixture:AFTE3
CN:397 01/02/2022 00:03:39 Q:-1 ID:B000414-FT Fixture:FT3
CN:397 01/02/2022 15:46:19 Q:-1 ID:B000270-FT Fixture:4PCBAF/TA00909
CN:397 01/02/2022 15:51:13 Q:-1 ID:B000270-FT Fixture:4PCBAF/TA00010
CN:397 01/02/2022 22:27:28 Q:-1 ID:B000351-FT Fixture:TE2
CN:397 07/02/2022 13:50:31 Q:-3 ID: Fixture: OUT
CN:397 09/02/2022 06:38:53 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA01531
CN:397 09/02/2022 10:06:55 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00015
CN:397 10/02/2022 10:50:40 Q:-1 ID:B000270-FT Fixture:4PCBAF/TA00007
CN:397 11/02/2022 00:16:32 Q:-1 ID:B000377-FT Fixture:4PCBAF/TA00010
CN:397 11/02/2022 07:42:33 Q:-1 ID:B000343-FT Fixture:4PCBAF/TA00006
CN:397 12/02/2022 00:00:54 Q:-1 ID:B000465-FT Fixture:T11
CN:397 12/02/2022 07:16:44 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00004
CN:397 12/02/2022 19:39:05 Q:-1 ID:B000465-FT Fixture:
CN:397 14/02/2022 07:23:12 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00002
CN:397 14/02/2022 07:25:15 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00006
CN:397 14/02/2022 08:06:56 Q:-1 ID:B000462-FT Fixture:4PCBAF/TA00004
CN:397 14/02/2022 18:07:01 Q:-1 ID:B000132-FT Fixture:
CN:397 14/02/2022 23:48:41 Q:-1 ID:B000386-FT Fixture:4PCBAF/TA00004
CN:397 15/02/2022 06:53:28 Q:-1 ID:B000359-FT Fixture:
CN:397 15/02/2022 06:57:18 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00009
CN:397 15/02/2022 20:30:31 Q:-1 ID:B000463-FT Fixture:
CN:397 16/02/2022 06:40:05 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00002
CN:397 16/02/2022 15:04:52 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00002
CN:397 17/02/2022 06:13:55 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00001
CN:397 17/02/2022 06:52:06 Q:-1 ID:B000462-FT Fixture:4PCBAF/TA00006
CN:397 17/02/2022 11:58:45 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00002
CN:397 17/02/2022 17:38:51 Q:-1 ID:B000377-FT Fixture:TE4
CN:397 18/02/2022 00:12:11 Q:-1 ID:B000315-FT Fixture:4PCBAF/TA00009
CN:397 19/02/2022 07:09:47 Q:-1 ID:B000462-FT Fixture:4PCBAF/TA00002
CN:397 19/02/2022 14:20:46 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00002
CN:397 19/02/2022 22:35:36 Q:-1 ID: Fixture: OUT
CN:397 19/02/2022 22:36:37 Q:1 ID: Fixture: IN
CN:397 19/02/2022 22:40:14 Q:-1 ID:B000271-FT Fixture:
CN:397 20/02/2022 00:23:25 Q:-1 ID:B000086-FT Fixture:
CN:397 21/02/2022 06:16:18 Q:-1 ID:B000466-FT Fixture:4PCBAF/TA00013
CN:397 21/02/2022 09:59:08 Q:-1 ID:B000029-FT Fixture:4PCBAF/TA00004
CN:397 21/02/2022 12:05:11 Q:-1 ID:B000371-FT Fixture:4PCBAF/TA00003
CN:397 21/02/2022 15:16:42 Q:-1 ID:B000466-FT Fixture:4PCBAF/TA00003
CN:397 21/02/2022 17:57:24 Q:-1 ID:B000375-FT Fixture:
CN:397 21/02/2022 18:02:03 Q:-1 ID:B000375-FT Fixture:
CN:397 21/02/2022 18:03:00 Q:-1 ID:B000086-FT Fixture:
CN:397 22/02/2022 01:08:55 Q:-1 ID:B000375-FT Fixture:
CN:397 22/02/2022 02:55:28 Q:-1 ID:B000375-FT Fixture:FTD1
CN:397 22/02/2022 07:25:35 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00005
CN:397 22/02/2022 07:53:09 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00003
CN:397 22/02/2022 08:20:07 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00001
CN:397 22/02/2022 09:53:17 Q:-1 ID:B000249-FT Fixture:4PCBAF/TA00002
CN:397 22/02/2022 10:33:49 Q:-1 ID:B000371-FT Fixture:4PCBAF/TA00004
CN:397 22/02/2022 11:25:45 Q:-1 ID:B000371-FT Fixture:4PCBAF/TA00004
CN:397 22/02/2022 13:21:49 Q:-1 ID:B000466-FT Fixture:4PCBAF/TA00003
CN:397 22/02/2022 18:26:14 Q:-1 ID:B000271-FT Fixture:PCBA
CN:397 22/02/2022 21:22:14 Q:-1 ID:B000375-FT Fixture:
CN:397 22/02/2022 22:21:59 Q:-1 ID:B000414-FT Fixture:4PCBAF/TA00001
CN:397 23/02/2022 00:40:50 Q:-1 ID:B000377-FT Fixture:
CN:397 23/02/2022 00:43:10 Q:-1 ID:B000414-FT Fixture:
CN:397 23/02/2022 00:43:40 Q:-1 ID:B000330-FT Fixture:
CN:397 23/02/2022 00:45:43 Q:-1 ID:B000086-FT Fixture:
CN:397 23/02/2022 02:46:23 Q:-1 ID:B000375-FT Fixture:4PCBAF/TA00002
CN:397 23/02/2022 02:46:40 Q:-1 ID:B000369-FT Fixture:
CN:397 23/02/2022 19:46:40 Q:-1 ID:B000027-FT Fixture:
CN:397 23/02/2022 20:00:05 Q:-1 ID:B000375-FT Fixture:
CN:397 23/02/2022 21:18:34 Q:-1 ID:B000377-FT Fixture:ROSE
CN:397 23/02/2022 21:38:25 Q:-1 ID:B000465-FT Fixture:ROSE
CN:397 23/02/2022 21:42:15 Q:-1 ID:B000375-FT Fixture:
CN:397 23/02/2022 22:39:22 Q:-1 ID:B000375-FT Fixture:
CN:397 23/02/2022 22:39:35 Q:-1 ID:B000375-FT Fixture:
CN:397 23/02/2022 23:20:51 Q:-1 ID:B000414-FT Fixture:
CN:397 23/02/2022 23:21:01 Q:-1 ID:B000414-FT Fixture:ROSE
CN:397 24/02/2022 06:08:52 Q:-1 ID:B000466-FT Fixture:4PCBAF/TA00003
CN:397 24/02/2022 07:08:20 Q:-1 ID:B000371-FT Fixture:4PCBAF/TA00001
CN:397 24/02/2022 11:09:58 Q:-1 ID:B000348-FT Fixture:4PCBAF/TA00001
CN:397 24/02/2022 14:07:48 Q:-1 ID:B000429-FT Fixture:4PCBAF/TA00002
CN:397 24/02/2022 15:06:27 Q:-2 ID:B000462-FT Fixture:4PCBAF/TA00004
CN:397 24/02/2022 15:57:33 Q:-1 ID:B000142-FT Fixture:4PCBAF/TA00075
CN:397 24/02/2022 19:30:27 Q:-1 ID:B000414-FT Fixture:
CN:397 24/02/2022 23:01:23 Q:-1 ID:B000463-FT Fixture:ROSE
CN:397 24/02/2022 23:10:04 Q:-1 ID:B000364-FT Fixture:ROSE
CN:397 24/02/2022 23:15:59 Q:-1 ID:B000271-FT Fixture:
CN:397 25/02/2022 06:22:52 Q:-1 ID:B000466-FT Fixture:4PCBAF/TA00003
CN:397 25/02/2022 09:18:30 Q:-1 ID:B000462-FT Fixture:4PCBAF/TA00005
CN:397 25/02/2022 10:27:54 Q:-1 ID:B000429-FT Fixture:4PCBAF/TA00002
CN:397 25/02/2022 15:07:50 Q:-1 ID:B000429-FT Fixture:4PCBAF/TA00009
CN:397 25/02/2022 21:44:09 Q:-1 ID:B000414-FT Fixture:TE3
CN:397 02/03/2022 19:01:01 Q:-1 ID:B000386-FT Fixture:
CN:397 02/03/2022 19:01:22 Q:-1 ID:B000386-FT Fixture:
CN:397 02/03/2022 19:01:34 Q:-1 ID:B000386-FT Fixture:
CN:397 02/03/2022 19:01:46 Q:-1 ID:B000386-FT Fixture:
CN:397 02/03/2022 19:01:55 Q:-1 ID:B000386-FT Fixture:
CN:397 02/03/2022 19:08:13 Q:-1 ID:B000414-FT Fixture:
CN:397 02/03/2022 22:12:42 Q:-1 ID:B000086-FT Fixture:TDA
CN:397 03/03/2022 11:24:29 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00009
CN:397 04/03/2022 07:29:47 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00008
CN:397 07/03/2022 19:11:36 Q:-1 ID:B000414-FT Fixture:TE2
CN:397 08/03/2022 07:12:36 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00005
CN:397 08/03/2022 10:15:31 Q:-1 ID:B000389-FT Fixture:
CN:397 08/03/2022 13:30:04 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00006
CN:397 14/03/2022 23:04:39 Q:-1 ID:B000386-FT Fixture:
CN:397 15/03/2022 00:51:49 Q:-1 ID:B000386-FT Fixture:ROSE
CN:397 16/03/2022 07:15:40 Q:-3 ID: Fixture: OUT
CN:397 18/03/2022 22:42:52 Q:-1 ID:B000378-FT Fixture:4PCBAF/TA00002
CN:397 18/03/2022 23:05:04 Q:-1 ID:B000375-FT Fixture:4PCBAF/TA00002
CN:397 18/03/2022 23:44:34 Q:-1 ID:B000144-FT Fixture:4PCBAF/TA00002
CN:397 21/03/2022 08:14:53 Q:-1 ID:B000210-FT Fixture:4PCBAF/TA00004
CN:397 21/03/2022 10:09:52 Q:-1 ID:B000343-FT Fixture:4PCBAF/TA00002
CN:397 21/03/2022 10:48:40 Q:-1 ID:B000270-FT Fixture:4PCBAF/TA00009
CN:397 21/03/2022 12:45:24 Q:-1 ID:B000343-FT Fixture:4PCBAF/TA00002
CN:397 22/03/2022 06:31:28 Q:-1 ID:B000429-FT Fixture:4PCBAF/TA00004
CN:397 22/03/2022 07:39:21 Q:-1 ID:B000371-FT Fixture:4PCBAF/TA00005
CN:397 22/03/2022 07:54:53 Q:-2 ID:B000250-FT Fixture:4PCBAF/TA00006
CN:397 22/03/2022 11:25:43 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00012
CN:397 22/03/2022 23:41:57 Q:-1 ID:B000375-FT Fixture:
CN:397 22/03/2022 23:42:12 Q:-1 ID:B000375-FT Fixture:
CN:397 22/03/2022 23:42:50 Q:-1 ID:B000375-FT Fixture:
CN:397 22/03/2022 23:52:16 Q:-1 ID:B000310-FT Fixture:PCBA
CN:397 23/03/2022 06:44:03 Q:-1 ID:B000412-FT Fixture:4PCBAF/TA00003
CN:397 23/03/2022 18:08:04 Q:-1 ID:B000512-FT Fixture:
CN:397 23/03/2022 18:08:28 Q:-1 ID:B000369-FT Fixture:4PCBAF/TA00002
CN:397 23/03/2022 18:08:35 Q:-1 ID:B000369-FT Fixture:4PCBAF/TA00002
CN:397 23/03/2022 18:12:10 Q:-1 ID:B000375-FT Fixture:4PCBAF/TA00005
CN:397 23/03/2022 23:54:34 Q:-1 ID: Fixture: OUT
CN:397 23/03/2022 23:54:43 Q:-1 ID: Fixture: OUT
CN:397 23/03/2022 23:54:44 Q:-1 ID: Fixture: OUT
CN:397 23/03/2022 23:54:46 Q:-1 ID: Fixture: OUT
CN:397 24/03/2022 09:15:45 Q:-1 ID:B000431-FT Fixture:4PCBAF/TA00005
CN:397 24/03/2022 09:16:32 Q:-1 ID:B000200-FT Fixture:4PCBAF/TA00002
CN:397 24/03/2022 11:42:14 Q:-1 ID:B000371-FT Fixture:4PCBAF/TA00003
CN:397 24/03/2022 12:21:20 Q:-1 ID:B000200-FT Fixture:4PCBAF/TA00004
CN:397 24/03/2022 17:19:45 Q:-1 ID:B000310-FT Fixture:PCBA
CN:397 25/03/2022 07:35:44 Q:-1 ID:B000462-FT Fixture:4PCBAF/TA00568
CN:397 25/03/2022 08:53:14 Q:-1 ID:B000343-FT Fixture:4PCBAF/TA00001
CN:397 25/03/2022 08:53:25 Q:-1 ID:B000343-FT Fixture:4PCBAF/TA00001
CN:397 25/03/2022 08:55:06 Q:-1 ID:B000270-FT Fixture:4PCBAF/TA00004
CN:397 25/03/2022 12:09:28 Q:-1 ID:B000270-FT Fixture:4PCBAF/TA00002
CN:397 25/03/2022 14:12:55 Q:-1 ID:B000148-FT Fixture:4PCBAF/TA00068
CN:397 06/04/2022 06:35:12 Q:-1 ID:B000200-FT Fixture:4PCBAF/TA00004
CN:397 11/04/2022 07:19:23 Q:-2 ID: Fixture: OUT
CN:397 11/04/2022 07:25:19 Q:-1 ID: Fixture: OUT
CN:397 11/04/2022 10:06:46 Q:-2 ID:B000200-FT Fixture:
CN:397 11/04/2022 22:02:04 Q:-1 ID: Fixture: OUT
CN:397 12/04/2022 11:49:17 Q:-1 ID:B000431-FT Fixture:4PCBAF/TA00007
CN:397 14/04/2022 00:50:04 Q:-1 ID:B000142-FT Fixture:
CN:397 14/04/2022 09:51:45 Q:-1 ID:B000505-FT Fixture:4PCBAF/TA00005
CN:397 14/04/2022 12:56:39 Q:-1 ID:B000431-FT Fixture:
CN:397 14/04/2022 15:53:03 Q:-1 ID:B000465-FT Fixture:4PCBAF/TA00001
CN:397 14/04/2022 15:53:30 Q:-1 ID:B000463-FT Fixture:4PCBAF/TA00002
CN:397 14/04/2022 20:14:23 Q:-1 ID:B000271-FT Fixture:
CN:397 14/04/2022 23:26:35 Q:-1 ID:B000271-FT Fixture:PCBA
CN:397 14/04/2022 23:34:20 Q:-1 ID:B000375-FT Fixture:4PCBAF/TA01513
CN:397 15/04/2022 06:18:16 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:397 15/04/2022 08:52:30 Q:-1 ID:B000029-FT Fixture:4PCBAF/TA00001
CN:397 15/04/2022 11:09:14 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00001
CN:397 15/04/2022 16:52:55 Q:-2 ID: Fixture: OUT
