CN:440 27/12/2021 11:49:18 Q:118 ID: Fixture: IN
CN:440 03/01/2022 19:57:38 Q:-1 ID:B000086 Fixture:MDV07 OUT
CN:440 04/01/2022 09:57:57 Q:-1 ID:29 Fixture:04 OUT
CN:440 04/01/2022 15:30:21 Q:-1 ID:B000029 Fixture:MD029 OUT
CN:440 05/01/2022 00:41:37 Q:-1 ID:B000350 Fixture:MALDIVES OUT
CN:440 05/01/2022 01:07:43 Q:-1 ID: Fixture: OUT
CN:440 05/01/2022 12:09:48 Q:-1 ID:B000359 Fixture:MD002 OUT
CN:440 05/01/2022 14:32:38 Q:-1 ID:29 Fixture:10 OUT
CN:440 05/01/2022 18:55:11 Q:-1 ID:B00086 Fixture:FTMALT014 OUT
CN:440 05/01/2022 19:10:19 Q:-1 ID:B000382 Fixture:SPMALT01 OUT
CN:440 05/01/2022 19:37:34 Q:-1 ID:B00029 Fixture:FTMALT10 OUT
CN:440 05/01/2022 20:00:41 Q:-1 ID:B000351 Fixture:MALDIVES OUT
CN:440 06/01/2022 00:20:17 Q:-1 ID: Fixture: OUT
CN:440 06/01/2022 07:06:36 Q:-1 ID:488 Fixture:7 OUT
CN:440 06/01/2022 22:29:26 Q:-1 ID:B000345 Fixture:MALDIVES OUT
CN:440 07/01/2022 14:36:53 Q:-1 ID:464 Fixture: OUT
CN:440 07/01/2022 14:50:04 Q:-1 ID:B000451 Fixture:ML003 OUT
CN:440 08/01/2022 00:16:42 Q:-1 ID: Fixture: OUT
CN:440 08/01/2022 00:18:30 Q:-1 ID:B000345 Fixture:MALDIVES OUT
CN:440 08/01/2022 00:26:24 Q:-1 ID:B000086 Fixture:MALDIVES OUT
CN:440 08/01/2022 00:28:08 Q:-1 ID: Fixture: OUT
CN:440 08/01/2022 00:29:58 Q:-1 ID: Fixture: OUT
CN:440 08/01/2022 08:59:50 Q:-1 ID:B000488 Fixture:MD005 OUT
CN:440 08/01/2022 15:47:27 Q:-1 ID:B000488 Fixture:MD007 OUT
CN:440 08/01/2022 22:52:04 Q:-1 ID:B000356 Fixture:FTMAL21 OUT
CN:440 08/01/2022 22:59:09 Q:-1 ID:B000139 Fixture:FTMAL4DC OUT
CN:440 09/01/2022 00:29:27 Q:-1 ID:B000386 Fixture:MDV03 OUT
CN:440 09/01/2022 00:30:09 Q:-1 ID:B000386 Fixture:MDV03 OUT
CN:440 10/01/2022 10:20:54 Q:-1 ID:466 Fixture:8 OUT
CN:440 10/01/2022 10:34:59 Q:-1 ID:B000029 Fixture:MD010 OUT
CN:440 10/01/2022 10:50:50 Q:-1 ID:B000466 Fixture:MD013 OUT
CN:440 11/01/2022 09:37:48 Q:-1 ID:B000488 Fixture:MD014 OUT
CN:440 11/01/2022 19:54:06 Q:-1 ID:B000T03 Fixture:FTMALT03 OUT
CN:440 12/01/2022 06:36:44 Q:-2 ID:448 Fixture:5 OUT
CN:440 12/01/2022 15:34:48 Q:-5 ID: Fixture: OUT
CN:440 13/01/2022 16:19:00 Q:-1 ID: Fixture: OUT
CN:440 13/01/2022 16:20:22 Q:-1 ID:B000414 Fixture:FTMAL17 OUT
CN:440 15/01/2022 07:00:08 Q:-1 ID: Fixture: OUT
CN:440 15/01/2022 08:15:50 Q:-1 ID:488 Fixture:18 OUT
CN:440 16/01/2022 00:26:54 Q:-1 ID:B000153 Fixture:WARLOCK OUT
CN:440 16/01/2022 00:32:05 Q:-1 ID: Fixture: OUT
CN:440 17/01/2022 06:24:09 Q:-1 ID:29 Fixture:07 OUT
CN:440 17/01/2022 15:31:12 Q:-1 ID:488 Fixture:27 OUT
CN:440 17/01/2022 16:30:00 Q:-1 ID: Fixture: OUT
CN:440 17/01/2022 17:33:51 Q:-1 ID: Fixture: OUT
CN:440 17/01/2022 19:55:15 Q:-1 ID: Fixture: OUT
CN:440 17/01/2022 23:50:37 Q:-1 ID: Fixture: OUT
CN:440 18/01/2022 15:44:58 Q:-1 ID:B000429 Fixture:MALDIVES OUT
CN:440 18/01/2022 16:03:24 Q:-1 ID: Fixture: OUT
CN:440 18/01/2022 17:59:07 Q:-1 ID:B000414 Fixture:MDV020 OUT
CN:440 19/01/2022 15:37:41 Q:-1 ID:B000129 Fixture: OUT
CN:440 19/01/2022 15:57:45 Q:-1 ID: Fixture: OUT
CN:440 20/01/2022 00:14:03 Q:-1 ID: Fixture: OUT
CN:440 20/01/2022 07:34:46 Q:-1 ID:488 Fixture:13
CN:440 08/02/2022 20:48:25 Q:-1 ID:B000386-FT Fixture:SMTB/FTMD00021
CN:440 08/02/2022 20:50:41 Q:-1 ID:B000386-FT Fixture:SMTB/FTMD00017
CN:440 08/02/2022 20:50:47 Q:-1 ID:B000386-FT Fixture:SMTB/FTMD00017
CN:440 08/02/2022 20:53:29 Q:-1 ID:B000386-FT Fixture:SMTB/FTMD00013
CN:440 09/02/2022 11:23:19 Q:-1 ID:B000429-FT Fixture:SMTB/FTMD00025
CN:440 09/02/2022 18:39:32 Q:-1 ID:B000086-FT Fixture:SMTB/FTMD00003
CN:440 09/02/2022 19:24:13 Q:-1 ID:B000375-FT Fixture:
CN:440 09/02/2022 21:04:06 Q:-1 ID:B000253-FT Fixture:
CN:440 09/02/2022 22:36:56 Q:-1 ID:B000086-FT Fixture:SMTB/FTMD00015
CN:440 10/02/2022 08:23:49 Q:-1 ID:B000466-FT Fixture:SMTB/FTMD00010
CN:440 10/02/2022 10:50:25 Q:-1 ID:B000488-FT Fixture:SMTB/FTMD00008
CN:440 10/02/2022 10:50:54 Q:-1 ID:B000488-FT Fixture:SMTB/FTMD00022
CN:440 10/02/2022 13:40:27 Q:-1 ID:B000029-FT Fixture:SMTB/FTMD00017
CN:440 11/02/2022 00:11:55 Q:-1 ID:B000386-FT Fixture:
CN:440 11/02/2022 00:17:13 Q:-1 ID:B000253-FT Fixture:
CN:440 11/02/2022 00:19:40 Q:-1 ID:B000428-FT Fixture:
CN:440 11/02/2022 06:14:09 Q:-1 ID: Fixture: OUT
CN:440 11/02/2022 10:54:59 Q:-1 ID:B000270-FT Fixture:SMTB/FTMD00021
CN:440 11/02/2022 11:51:03 Q:-1 ID:B000466-FT Fixture:SMTB/FTMD00005
CN:440 11/02/2022 14:06:34 Q:-1 ID:B000466-FT Fixture:SMTB/FTMD00005
CN:440 11/02/2022 17:36:37 Q:-1 ID:B000253-FT Fixture:T07
CN:440 11/02/2022 19:23:53 Q:-1 ID:B000375-FT Fixture:FT27
CN:440 11/02/2022 19:27:14 Q:-1 ID:B000414-FT Fixture:T09
CN:440 12/02/2022 00:08:20 Q:-1 ID:B000414-FT Fixture:T09
CN:440 12/02/2022 06:35:32 Q:-1 ID: Fixture: OUT
CN:440 12/02/2022 06:35:46 Q:-1 ID:B000429-FT Fixture:SMTB/FTMD00008
CN:440 12/02/2022 19:43:13 Q:-1 ID:B003575-FT Fixture:
CN:440 14/02/2022 06:54:58 Q:-1 ID:B000429-FT Fixture:SMTB/FTMD00022
CN:440 14/02/2022 07:24:52 Q:-1 ID:B000466-FT Fixture:SMTB/FTMD00005
CN:440 14/02/2022 07:25:04 Q:-1 ID:B000270-FT Fixture:SMTB/FTMD00021
CN:440 14/02/2022 08:13:46 Q:-1 ID:B000371-FT Fixture:SMTB/FTMD00002
CN:440 14/02/2022 23:03:17 Q:-1 ID:B000345-FT Fixture:SMTB/FTMD00003
CN:440 15/02/2022 08:10:22 Q:-1 ID:B000429-FT Fixture:SMTB/FTMD00025
CN:440 15/02/2022 09:57:42 Q:-1 ID:B000029-FT Fixture:SMTB/FTMD00027
CN:440 15/02/2022 14:54:34 Q:-1 ID:B000029-FT Fixture:SMTB/FTMD00026
CN:440 16/02/2022 00:42:04 Q:-1 ID: Fixture: OUT
CN:440 25/02/2022 14:54:03 Q:-2 ID:VALIDACAO Fixture:VALIDACAO
CN:440 03/03/2022 07:03:09 Q:-1 ID:B000429-FT Fixture:SMTB/FTMD00007
CN:440 03/03/2022 11:04:19 Q:-1 ID:B000466-FT Fixture:SMTB/FTMD00027
CN:440 03/03/2022 20:23:16 Q:-1 ID:B000465-FT Fixture:SMTB/FTMD00003
CN:440 03/03/2022 20:23:21 Q:-1 ID:B000465-FT Fixture:SMTB/FTMD00003
CN:440 04/03/2022 00:32:06 Q:-1 ID:B000375-FT Fixture:SMTB/FTMD00027
CN:440 04/03/2022 08:21:30 Q:-1 ID:B000466-FT Fixture:SMTB/FTMD00026
CN:440 04/03/2022 10:52:32 Q:-1 ID:B000429-FT Fixture:SMTB/FTMD00007
CN:440 04/03/2022 11:54:42 Q:-1 ID:B000464-FT Fixture:SMTB/FTMD00005
CN:440 11/03/2022 10:50:00 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:440 12/03/2022 08:12:49 Q:200 ID: Fixture: IN
CN:440 14/03/2022 15:02:24 Q:-2 ID: Fixture: OUT
