CN:582 25/04/2022 09:01:13 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:582 03/05/2022 07:56:25 Q:-7 ID:VALIDACAO Fixture:
CN:582 03/05/2022 09:55:00 Q:-5 ID:VALIDACAO Fixture:VALIDACAO
CN:582 16/06/2022 09:21:26 Q:100 ID: Fixture: IN
CN:582 25/06/2022 15:26:47 Q:-4 ID:CEB Fixture:CEB
CN:582 16/07/2022 07:58:30 Q:-5 ID: Fixture: OUT
CN:582 19/07/2022 14:48:46 Q:-9 ID: Fixture: OUT
CN:582 20/07/2022 09:53:34 Q:-9 ID:VALIDAÇÃO Fixture:
CN:582 30/07/2022 09:56:21 Q:-5 ID: Fixture: OUT
CN:582 30/07/2022 10:08:41 Q:-1 ID: Fixture: OUT
CN:582 30/07/2022 10:08:41 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:08:57 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:08:58 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:08:58 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:08:59 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:09:00 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:18:16 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:18:16 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:18:17 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:18:18 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:18:18 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:22:48 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:22:50 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:22:52 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 07:22:53 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:16:25 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:16:25 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:16:26 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:16:26 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:16:27 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:16:27 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:35:39 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:35:41 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:35:42 Q:-1 ID: Fixture: OUT
CN:582 01/08/2022 11:35:46 Q:-1 ID: Fixture: OUT
CN:582 02/08/2022 07:01:27 Q:-10 ID: Fixture: OUT
CN:582 02/08/2022 07:34:24 Q:-1 ID: Fixture: OUT
CN:582 02/08/2022 07:34:25 Q:-1 ID: Fixture: OUT
CN:582 06/08/2022 07:29:43 Q:-10 ID: Fixture: OUT
CN:582 08/08/2022 13:44:16 Q:-5 ID: Fixture: OUT
CN:582 08/08/2022 14:05:31 Q:-10 ID: Fixture: OUT
CN:582 15/08/2022 06:06:16 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 06:06:17 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 06:06:17 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 06:06:18 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 07:00:37 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 07:00:38 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 07:00:39 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 07:00:40 Q:-1 ID: Fixture: OUT
CN:582 15/08/2022 07:00:40 Q:-1 ID: Fixture: OUT
CN:582 22/08/2022 07:24:57 Q:-6 ID: Fixture: OUT
CN:582 22/08/2022 07:37:04 Q:-1 ID: Fixture: OUT
CN:582 22/08/2022 07:37:05 Q:-1 ID: Fixture: OUT
CN:582 22/08/2022 07:37:05 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 09:08:28 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 09:08:29 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 09:08:29 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 09:08:30 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 10:51:03 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 10:51:04 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:02:48 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:02:48 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:02:49 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:02:49 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:02:50 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:02:50 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:11:04 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:11:04 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:11:05 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:11:05 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:15:48 Q:-1 ID: Fixture: OUT
CN:582 26/08/2022 11:15:48 Q:-1 ID: Fixture: OUT
CN:582 27/08/2022 10:38:17 Q:-1 ID: Fixture: OUT
CN:582 27/08/2022 10:38:18 Q:-1 ID: Fixture: OUT
CN:582 27/08/2022 10:38:18 Q:-1 ID: Fixture: OUT
CN:582 27/08/2022 10:38:18 Q:-1 ID: Fixture: OUT
CN:582 30/08/2022 09:52:24 Q:-10 ID: Fixture: OUT
CN:582 02/09/2022 06:47:08 Q:-9 ID: Fixture: OUT
CN:582 02/09/2022 06:51:37 Q:-9 ID: Fixture: OUT
CN:582 02/09/2022 09:04:52 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 09:04:53 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 09:04:54 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 09:04:54 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 10:12:42 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 10:12:43 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 10:12:43 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 10:12:44 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 10:12:45 Q:-1 ID: Fixture: OUT
CN:582 02/09/2022 10:12:45 Q:-1 ID: Fixture: OUT
CN:582 20/09/2022 19:08:52 Q:-8 ID: Fixture: OUT
CN:582 22/09/2022 18:11:25 Q:-1 ID: Fixture: OUT
CN:582 22/09/2022 22:18:10 Q:-1 ID:B000414-FT Fixture:
CN:582 22/09/2022 22:18:12 Q:-1 ID:B000414-FT Fixture:
CN:582 29/09/2022 00:07:12 Q:-8 ID:validação Fixture:
CN:582 04/10/2022 21:40:01 Q:-4 ID: Fixture: OUT
