CN:748 04/07/2022 18:26:53 Q:-1 ID: Fixture:VALIDAÇÃO
CN:748 04/07/2022 18:28:46 Q:-1 ID: Fixture:VALIDAÇÃO
CN:748 04/07/2022 18:29:54 Q:-1 ID: Fixture:VALIDAÇÃO
CN:748 04/07/2022 18:59:06 Q:1 ID: Fixture: IN
CN:748 10/08/2022 14:50:19 Q:-1 ID: Fixture: OUT
CN:748 17/08/2022 10:16:42 Q:-10 ID: Fixture: OUT
CN:748 18/08/2022 12:01:29 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:30 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:30 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:31 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:31 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:32 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:32 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:32 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:33 Q:-1 ID: Fixture: OUT
CN:748 18/08/2022 12:01:33 Q:-1 ID: Fixture: OUT
CN:748 10/09/2022 09:47:59 Q:-1 ID: Fixture: OUT
CN:748 10/09/2022 09:48:04 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:03 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:09 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:17 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:23 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:29 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:36 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:42 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:46 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:51 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:56 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:03:58 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:00 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:03 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:05 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:07 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:09 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:14 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:17 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:04:19 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:06:07 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:06:09 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:06:13 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:06:17 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:06:21 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:09:07 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:09:09 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:09:14 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:09:18 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:09:21 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:10:45 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:10:50 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:10:54 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:10:58 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:13:04 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:13:06 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:13:10 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:13:15 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:20:10 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:20:12 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:20:16 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:20:20 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:20:24 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:20:27 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:20:30 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:34:41 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:34:44 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:34:47 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:34:50 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:34:52 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:34:55 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:34:59 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:35:02 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:35:45 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:00 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:04 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:06 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:09 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:12 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:15 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:18 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:22 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:25 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:27 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:44 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:47 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:36:50 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:37:04 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:37:08 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:37:13 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:37:50 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:37:53 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:37:55 Q:1 ID: Fixture: IN
