CN:867 20/08/2022 09:41:09 Q:-1 ID: Fixture: OUT
CN:867 20/08/2022 09:41:09 Q:-1 ID: Fixture: OUT
CN:867 20/08/2022 09:41:09 Q:-1 ID: Fixture: OUT
CN:867 20/08/2022 09:41:10 Q:-1 ID: Fixture: OUT
CN:867 22/08/2022 08:54:04 Q:-1 ID: Fixture: OUT
CN:867 22/08/2022 14:31:39 Q:-1 ID: Fixture: OUT
CN:867 22/08/2022 14:31:40 Q:-1 ID: Fixture: OUT
CN:867 22/08/2022 14:31:40 Q:-1 ID: Fixture: OUT
CN:867 22/08/2022 14:31:41 Q:-1 ID: Fixture: OUT
CN:867 10/09/2022 22:18:08 Q:-1 ID: Fixture: OUT
CN:867 13/09/2022 14:19:56 Q:-1 ID: Fixture: OUT
CN:867 13/09/2022 14:36:18 Q:-1 ID: Fixture: OUT
CN:867 13/09/2022 14:36:19 Q:-1 ID: Fixture: OUT
CN:867 13/09/2022 14:46:23 Q:-1 ID: Fixture: OUT
CN:867 13/09/2022 15:19:15 Q:-1 ID: Fixture: OUT
CN:867 13/09/2022 15:19:18 Q:-1 ID: Fixture: OUT
CN:867 13/09/2022 15:19:20 Q:-1 ID: Fixture: OUT
CN:867 14/09/2022 17:00:20 Q:-1 ID: Fixture:TELA_EMPRESTADADEBUG
CN:867 15/09/2022 00:53:04 Q:1 ID: Fixture:tela_devolvida
CN:867 15/09/2022 08:51:50 Q:-1 ID: Fixture: OUT
CN:867 23/09/2022 23:40:27 Q:1 ID: Fixture: IN
CN:867 23/09/2022 23:40:30 Q:1 ID: Fixture: IN
CN:867 23/09/2022 23:40:33 Q:1 ID: Fixture: IN
CN:867 23/09/2022 23:40:35 Q:1 ID: Fixture: IN
CN:867 29/09/2022 00:21:19 Q:1 ID: Fixture: IN
CN:867 29/09/2022 00:21:54 Q:1 ID: Fixture: IN
CN:867 29/09/2022 00:22:16 Q:1 ID: Fixture: IN
CN:867 29/09/2022 00:51:40 Q:1 ID: Fixture: IN
CN:867 29/09/2022 11:09:51 Q:1 ID: Fixture: IN
CN:867 05/10/2022 09:38:33 Q:-1 ID: Fixture: OUT QTD:133
CN:867 05/10/2022 10:34:18 Q:-1 ID: Fixture: OUT QTD:132
CN:867 05/10/2022 10:34:19 Q:-1 ID: Fixture: OUT QTD:131
CN:867 05/10/2022 11:01:28 Q:-1 ID: Fixture: OUT QTD:130
CN:867 05/10/2022 11:45:53 Q:-1 ID: Fixture: OUT QTD:129
CN:867 05/10/2022 11:48:41 Q:-1 ID: Fixture: OUT QTD:128
CN:867 05/10/2022 11:48:42 Q:-1 ID: Fixture: OUT QTD:127
CN:867 05/10/2022 11:59:12 Q:-1 ID: Fixture: OUT QTD:126
CN:867 05/10/2022 12:07:22 Q:-1 ID: Fixture: OUT QTD:125
CN:867 05/10/2022 14:52:24 Q:-1 ID: Fixture: OUT QTD:124
CN:867 07/10/2022 08:58:57 Q:-2 ID: Fixture: OUT QTD:122
CN:867 07/10/2022 11:42:18 Q:-1 ID: Fixture: OUT QTD:121
CN:867 07/10/2022 11:42:18 Q:-1 ID: Fixture: OUT QTD:120
CN:867 07/10/2022 11:42:19 Q:-1 ID: Fixture: OUT QTD:119
CN:867 08/10/2022 12:32:43 Q:-1 ID: Fixture: OUT QTD:118
CN:867 08/10/2022 19:23:44 Q:-4 ID: Fixture: OUT QTD:114
CN:867 10/10/2022 06:46:48 Q:1 ID: Fixture: IN QTD:115
CN:867 10/10/2022 07:32:50 Q:-1 ID: Fixture: OUT QTD:114
CN:867 10/10/2022 10:58:42 Q:-1 ID: Fixture: OUT QTD:113
CN:867 10/10/2022 10:58:42 Q:-1 ID: Fixture: OUT QTD:112
CN:867 10/10/2022 10:58:44 Q:-1 ID: Fixture: OUT QTD:111
CN:867 10/10/2022 11:00:52 Q:1 ID: Fixture: IN QTD:112
CN:867 10/10/2022 14:27:30 Q:-1 ID: Fixture: OUT QTD:111
CN:867 10/10/2022 16:07:27 Q:1 ID: Fixture: IN QTD:112
CN:867 10/10/2022 16:33:45 Q:-5 ID: Fixture: OUT QTD:107
CN:867 11/10/2022 12:15:59 Q:-1 ID: Fixture: OUT QTD:106
CN:867 11/10/2022 12:16:00 Q:-1 ID: Fixture: OUT QTD:105
CN:867 11/10/2022 12:16:00 Q:-1 ID: Fixture: OUT QTD:104
CN:867 11/10/2022 12:16:01 Q:-1 ID: Fixture: OUT QTD:103
CN:867 11/10/2022 12:20:46 Q:1 ID: Fixture: IN QTD:104
CN:867 11/10/2022 12:21:01 Q:-1 ID: Fixture: OUT QTD:103
CN:867 11/10/2022 12:21:02 Q:-1 ID: Fixture: OUT QTD:102
CN:867 11/10/2022 18:44:20 Q:-1 ID: Fixture: OUT QTD:101
