CN:868 22/08/2022 14:41:45 Q:-1 ID: Fixture: OUT
CN:868 22/08/2022 14:43:26 Q:1 ID: Fixture: IN
CN:868 10/09/2022 22:12:03 Q:-1 ID: Fixture: OUT
CN:868 10/09/2022 22:16:29 Q:1 ID: Fixture: IN
CN:868 13/09/2022 14:39:16 Q:-1 ID: Fixture: OUT
CN:868 13/09/2022 14:39:17 Q:-1 ID: Fixture: OUT
CN:868 13/09/2022 14:39:18 Q:-1 ID: Fixture: OUT
CN:868 13/09/2022 15:21:28 Q:1 ID: Fixture: IN
CN:868 13/09/2022 15:21:28 Q:1 ID: Fixture: IN
CN:868 13/09/2022 15:21:29 Q:1 ID: Fixture: IN
CN:868 13/09/2022 15:22:30 Q:1 ID: Fixture: IN
CN:868 15/09/2022 08:52:47 Q:-1 ID: Fixture: OUT
CN:868 15/09/2022 08:56:23 Q:1 ID: Fixture: IN
CN:868 21/09/2022 16:54:44 Q:-1 ID: Fixture: OUT
CN:868 22/09/2022 08:02:56 Q:-1 ID: Fixture: OUT
CN:868 22/09/2022 08:02:57 Q:-1 ID: Fixture: OUT
CN:868 22/09/2022 08:02:57 Q:-1 ID: Fixture: OUT
CN:868 22/09/2022 08:02:58 Q:-1 ID: Fixture: OUT
CN:868 22/09/2022 08:02:59 Q:-1 ID: Fixture: OUT
CN:868 22/09/2022 08:02:59 Q:-1 ID: Fixture: OUT
CN:868 22/09/2022 08:03:00 Q:-1 ID: Fixture: OUT
CN:868 06/10/2022 00:53:57 Q:-1 ID: Fixture: OUT QTD:4073
CN:868 06/10/2022 00:58:31 Q:-1 ID: Fixture: OUT QTD:4072
CN:868 06/10/2022 01:06:01 Q:-1 ID:VALIDAÇÃO Fixture:
CN:868 06/10/2022 23:57:22 Q:-1 ID: Fixture: OUT QTD:4070
CN:868 07/10/2022 08:58:34 Q:-2 ID: Fixture: OUT QTD:4068
CN:868 07/10/2022 11:41:45 Q:-1 ID: Fixture: OUT QTD:4067
CN:868 07/10/2022 11:41:45 Q:-1 ID: Fixture: OUT QTD:4066
CN:868 07/10/2022 11:41:46 Q:-1 ID: Fixture: OUT QTD:4065
CN:868 08/10/2022 11:46:01 Q:-1 ID: Fixture: OUT QTD:4064
CN:868 08/10/2022 11:46:02 Q:-1 ID: Fixture: OUT QTD:4063
CN:868 08/10/2022 11:46:02 Q:-1 ID: Fixture: OUT QTD:4062
CN:868 08/10/2022 14:22:59 Q:1 ID: Fixture: IN QTD:4063
CN:868 08/10/2022 17:27:36 Q:-1 ID: Fixture: OUT QTD:4062
CN:868 08/10/2022 17:27:36 Q:-1 ID: Fixture: OUT QTD:4061
CN:868 08/10/2022 17:27:38 Q:-1 ID: Fixture: OUT QTD:4060
CN:868 08/10/2022 17:27:38 Q:-1 ID: Fixture: OUT QTD:4059
CN:868 10/10/2022 07:34:33 Q:-1 ID: Fixture: OUT QTD:4058
CN:868 10/10/2022 07:34:33 Q:-1 ID: Fixture: OUT QTD:4057
CN:868 10/10/2022 10:37:29 Q:-1 ID:B000451-FT Fixture: OUT QTD:4056
CN:868 10/10/2022 10:51:40 Q:-1 ID: Fixture: OUT QTD:4055
CN:868 10/10/2022 10:51:41 Q:-1 ID: Fixture: OUT QTD:4054
CN:868 10/10/2022 10:51:43 Q:-1 ID: Fixture: OUT QTD:4053
CN:868 10/10/2022 16:33:16 Q:-5 ID: Fixture: OUT QTD:4048
CN:868 11/10/2022 12:14:27 Q:-1 ID: Fixture: OUT QTD:4047
CN:868 11/10/2022 12:14:28 Q:-1 ID: Fixture: OUT QTD:4046
CN:868 11/10/2022 12:14:28 Q:-1 ID: Fixture: OUT QTD:4045
CN:868 11/10/2022 12:14:29 Q:-1 ID: Fixture: OUT QTD:4044
CN:868 11/10/2022 12:22:00 Q:-1 ID: Fixture: OUT QTD:4043
CN:868 11/10/2022 17:47:57 Q:-1 ID: Fixture: OUT QTD:4042
CN:868 11/10/2022 18:44:21 Q:-1 ID: Fixture: OUT QTD:4041
