CN:869 20/08/2022 08:04:16 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:16 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:17 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:17 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:17 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:18 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:18 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:18 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:19 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:04:19 Q:-1 ID: Fixture: OUT
CN:869 20/08/2022 08:43:33 Q:10 ID: Fixture: IN
CN:869 13/09/2022 14:40:40 Q:-1 ID: Fixture: OUT
CN:869 13/09/2022 14:40:41 Q:-1 ID: Fixture: OUT
CN:869 13/09/2022 14:40:41 Q:-1 ID: Fixture: OUT
CN:869 13/09/2022 15:21:23 Q:1 ID: Fixture: IN
CN:869 13/09/2022 15:21:23 Q:1 ID: Fixture: IN
CN:869 13/09/2022 15:21:24 Q:1 ID: Fixture: IN
CN:869 13/09/2022 15:22:35 Q:1 ID: Fixture: IN
CN:869 15/09/2022 08:53:10 Q:-1 ID: Fixture: OUT
CN:869 15/09/2022 08:56:32 Q:1 ID: Fixture: IN
CN:869 06/10/2022 00:25:06 Q:-1 ID: Fixture: OUT QTD:163
CN:869 06/10/2022 00:25:06 Q:-1 ID: Fixture: OUT QTD:162
CN:869 06/10/2022 00:53:56 Q:-1 ID: Fixture: OUT QTD:161
CN:869 06/10/2022 00:58:29 Q:-1 ID: Fixture: OUT QTD:160
CN:869 07/10/2022 11:44:14 Q:-1 ID: Fixture: OUT QTD:159
CN:869 07/10/2022 11:44:14 Q:-1 ID: Fixture: OUT QTD:158
CN:869 07/10/2022 11:44:15 Q:-1 ID: Fixture: OUT QTD:157
CN:869 08/10/2022 11:23:21 Q:-2 ID:B000347-FT Fixture: OUT QTD:155
CN:869 08/10/2022 11:46:06 Q:-1 ID: Fixture: OUT QTD:154
CN:869 08/10/2022 11:46:07 Q:-1 ID: Fixture: OUT QTD:153
CN:869 08/10/2022 11:46:08 Q:-1 ID: Fixture: OUT QTD:152
CN:869 08/10/2022 14:22:42 Q:1 ID: Fixture: IN QTD:153
CN:869 08/10/2022 17:27:21 Q:-1 ID: Fixture: OUT QTD:152
CN:869 08/10/2022 17:27:22 Q:-1 ID: Fixture: OUT QTD:151
CN:869 08/10/2022 17:27:23 Q:-1 ID: Fixture: OUT QTD:150
CN:869 08/10/2022 17:27:23 Q:-1 ID: Fixture: OUT QTD:149
CN:869 10/10/2022 07:34:23 Q:-1 ID: Fixture: OUT QTD:148
CN:869 10/10/2022 07:34:24 Q:-1 ID: Fixture: OUT QTD:147
CN:869 10/10/2022 11:01:30 Q:-1 ID: Fixture: OUT QTD:146
CN:869 10/10/2022 11:01:30 Q:-1 ID: Fixture: OUT QTD:145
CN:869 10/10/2022 14:38:11 Q:-1 ID: Fixture: OUT QTD:144
CN:869 10/10/2022 16:41:04 Q:-5 ID: Fixture:VALIDAÇAO OUT QTD:139
CN:869 11/10/2022 12:15:08 Q:-1 ID: Fixture: OUT QTD:138
CN:869 11/10/2022 12:15:09 Q:-1 ID: Fixture: OUT QTD:137
CN:869 11/10/2022 12:15:09 Q:-1 ID: Fixture: OUT QTD:136
CN:869 11/10/2022 12:15:10 Q:-1 ID: Fixture: OUT QTD:135
CN:869 11/10/2022 12:22:05 Q:-1 ID: Fixture: OUT QTD:134
CN:869 11/10/2022 15:46:07 Q:1 ID: Fixture: IN QTD:135
CN:869 11/10/2022 17:47:10 Q:1 ID: Fixture: IN QTD:136
CN:869 11/10/2022 17:47:17 Q:-1 ID: Fixture: OUT QTD:135
CN:869 11/10/2022 17:57:45 Q:-1 ID: Fixture: OUT QTD:134
CN:869 11/10/2022 18:44:23 Q:-1 ID: Fixture: OUT QTD:133
